year,min,25%,50%,75%,max,country,iso3,tipo
1960,-2.9,0.5,4.7,9.05,12.0,Germany,DEU,tasmin
1961,-3.7,1.17,6.25,10.95,11.6,Germany,DEU,tasmin
1962,-5.9,-1.25,4.4,8.25,11.5,Germany,DEU,tasmin
1963,-10.4,-2.42,4.55,9.98,12.6,Germany,DEU,tasmin
1964,-4.9,-1.85,4.1,9.65,12.5,Germany,DEU,tasmin
1965,-4.4,-1.08,3.45,9.12,11.1,Germany,DEU,tasmin
1966,-5.4,0.18,6.15,9.83,11.9,Germany,DEU,tasmin
1967,-2.0,0.92,4.85,9.95,13.4,Germany,DEU,tasmin
1968,-4.0,0.05,5.1,10.2,12.2,Germany,DEU,tasmin
1969,-6.8,-2.05,4.45,9.58,13.4,Germany,DEU,tasmin
1970,-4.9,-1.63,4.55,9.58,12.2,Germany,DEU,tasmin
1971,-4.1,0.45,3.95,8.95,13.0,Germany,DEU,tasmin
1972,-4.4,0.4,3.15,7.85,13.1,Germany,DEU,tasmin
1973,-2.1,-0.15,2.6,10.0,12.8,Germany,DEU,tasmin
1974,0.6,2.22,3.0,9.33,12.5,Germany,DEU,tasmin
1975,-2.2,0.62,3.95,10.25,13.7,Germany,DEU,tasmin
1976,-3.2,-1.72,4.6,9.4,13.6,Germany,DEU,tasmin
1977,-1.8,1.58,4.6,8.8,11.9,Germany,DEU,tasmin
1978,-4.1,0.9,4.1,9.18,11.2,Germany,DEU,tasmin
1979,-6.8,1.15,3.75,9.55,11.8,Germany,DEU,tasmin
1980,-5.1,-0.32,3.4,10.07,12.4,Germany,DEU,tasmin
1981,-4.8,0.75,4.3,10.25,12.4,Germany,DEU,tasmin
1982,-5.1,0.38,5.15,11.05,13.9,Germany,DEU,tasmin
1983,-4.5,1.3,5.2,10.05,14.5,Germany,DEU,tasmin
1984,-2.8,-0.95,4.7,9.38,12.6,Germany,DEU,tasmin
1985,-8.4,-0.35,4.5,9.43,12.7,Germany,DEU,tasmin
1986,-9.5,-0.18,4.55,9.7,12.3,Germany,DEU,tasmin
1987,-8.7,-0.72,4.95,10.2,12.6,Germany,DEU,tasmin
1988,-0.4,0.9,4.95,10.25,12.7,Germany,DEU,tasmin
1989,-0.2,0.55,5.3,10.35,13.0,Germany,DEU,tasmin
1990,-1.3,2.25,4.9,9.22,13.2,Germany,DEU,tasmin
1991,-5.5,1.02,3.85,9.68,14.2,Germany,DEU,tasmin
1992,-1.5,1.12,3.65,10.18,14.4,Germany,DEU,tasmin
1993,-2.8,-0.25,5.3,9.9,12.0,Germany,DEU,tasmin
1994,-3.0,2.7,4.35,10.35,15.7,Germany,DEU,tasmin
1995,-4.0,0.37,6.0,9.52,14.9,Germany,DEU,tasmin
1996,-5.2,-2.72,4.75,8.28,12.8,Germany,DEU,tasmin
1997,-4.8,1.43,3.25,9.67,14.6,Germany,DEU,tasmin
1998,-1.4,0.8,5.5,10.62,12.4,Germany,DEU,tasmin
1999,-2.2,0.85,5.25,10.92,14.1,Germany,DEU,tasmin
2000,-1.5,1.75,6.6,10.6,13.0,Germany,DEU,tasmin
2001,-2.9,0.62,5.9,9.22,13.8,Germany,DEU,tasmin
2002,-1.9,1.72,4.2,10.08,14.4,Germany,DEU,tasmin
2003,-5.4,0.4,3.2,10.1,14.7,Germany,DEU,tasmin
2004,-3.0,0.15,5.5,9.95,13.8,Germany,DEU,tasmin
2005,-3.7,-0.42,5.9,10.8,13.4,Germany,DEU,tasmin
2006,-5.2,1.05,6.3,11.58,15.6,Germany,DEU,tasmin
2007,-0.5,1.8,5.55,9.98,12.8,Germany,DEU,tasmin
2008,-0.9,0.8,4.65,9.77,13.0,Germany,DEU,tasmin
2009,-4.5,0.48,5.75,10.35,13.7,Germany,DEU,tasmin
2010,-6.1,-0.48,4.2,9.22,15.1,Germany,DEU,tasmin
2011,-1.9,1.27,5.9,11.12,13.2,Germany,DEU,tasmin
2012,-5.7,1.85,4.65,9.7,13.5,Germany,DEU,tasmin
2013,-3.0,0.33,5.65,10.05,14.1,Germany,DEU,tasmin
2014,-0.5,2.3,7.0,11.12,14.6,Germany,DEU,tasmin
2015,-1.9,2.77,5.05,9.5,14.7,Germany,DEU,tasmin
2016,-1.7,0.62,4.6,12.2,14.0,Germany,DEU,tasmin
2017,-4.6,2.2,5.45,10.02,13.5,Germany,DEU,tasmin
2018,-4.5,1.45,6.55,11.0,14.8,Germany,DEU,tasmin
2019,-1.9,2.33,5.35,10.65,14.2,Germany,DEU,tasmin
2020,0.8,1.7,5.8,10.8,15.0,Germany,DEU,tasmin
