Years,AUS,BRA,CAN,CHN,EGY,IND,IDN,PHL,RUS,TUR,GBR,USA
1960,6456,0,9614,2,5,0,0,0,0,1,0,17799
1961,4950,0,9744,122,6,0,0,0,0,1,0,19486
1962,6148,0,9018,89,15,0,0,0,0,0,0,17663
1963,6986,0,16181,113,19,0,0,0,0,0,0,23024
1964,7321,0,10875,115,12,0,0,0,0,0,0,19677
1965,4691,0,15918,4,21,0,0,0,0,0,0,23188
1966,8497,0,14024,30,29,0,0,0,0,0,0,20983
1967,5654,0,9145,13,12,0,0,0,0,0,0,20820
1968,6371,3,8323,1,0,1,0,0,0,2,0,14805
1969,8047,0,9430,1,0,14,0,0,0,0,0,16411
1970,9145,0,11846,3,0,13,0,0,0,0,0,20167
1971,7788,0,13710,5,0,5,0,0,0,17,0,16311
1972,4281,0,15692,5,0,667,0,0,0,560,0,30382
1973,7031,0,11414,5,0,0,0,0,0,19,0,33120
1974,8562,0,10739,5,0,0,0,0,0,0,0,27719
1975,8663,0,12253,0,0,0,0,0,0,0,0,31921
1976,9485,0,13446,0,0,0,0,0,0,52,0,25842
1977,8098,0,15997,0,0,536,0,0,0,1149,0,30587
1978,11693,0,13061,0,0,614,0,0,0,2023,0,32499
1979,13197,0,15883,0,0,481,0,0,0,440,0,37426
1980,9577,0,16262,0,0,55,0,0,0,530,0,41200
1981,11008,0,18447,0,0,0,0,0,0,337,0,48191
1982,8041,0,21368,0,0,100,0,0,0,573,0,41058
1983,13640,0,21765,0,0,35,0,0,0,600,0,38820
1984,14032,0,17543,0,0,100,0,9,0,517,0,38685
1985,16022,0,17697,0,0,400,0,0,0,112,0,24742
1986,15562,0,20783,7,0,500,0,0,0,52,0,27175
1987,9850,0,23518,7,0,500,0,0,800,933,0,43215
1988,11295,0,12429,8,0,20,0,0,970,1643,0,38506
1989,10767,0,16885,8,0,20,0,0,1150,194,0,33528
1990,11760,0,21731,8,0,200,5,0,1200,546,0,29106
1991,7103,1,24481,10,0,680,7,0,555,6241,0,34899
1992,9853,0,19709,184,0,50,7,0,900,2019,0,36838
1993,13707,0,19100,631,2,28,8,0,500,1065,0,33414
1994,6354,1,20851,411,3,100,11,0,619,1810,0,32340
1995,13311,1,16342,496,10,1500,18,0,206,1054,0,33778
1996,19225,54,19501,969,3,2000,49,0,697,967,0,27257
1997,15343,3,20134,1162,1,0,23,0,1111,1324,0,28315
1998,16473,7,14705,542,0,0,9,0,1652,2626,0,28460
1999,17844,4,19165,542,0,200,31,0,518,2163,0,29570
2000,15930,3,17316,623,0,1569,49,0,696,1601,0,28904
2001,16409,5,16272,1512,11,3087,45,62,4372,753,0,26190
2002,9146,5,9432,1718,10,4850,73,8,12621,794,0,23139
2003,18031,1378,15843,2824,10,5650,91,11,3114,839,0,31524
2004,14722,15,14872,1171,10,2120,221,14,7951,2017,0,29009
2005,16012,807,16020,1397,10,801,163,26,10664,3214,0,27291
2006,8728,4,19434,2783,12,94,192,30,10790,2377,0,24725
2007,7487,770,16116,2835,43,49,221,30,12220,1722,0,34363
2008,14747,403,18876,723,94,23,144,31,18393,2239,0,27635
2009,14827,1162,19042,892,175,58,212,36,18556,4266,0,23931
2010,18600,2535,16575,941,225,72,214,41,3983,3014,0,35147
2011,24661,2036,17352,978,232,891,222,39,21627,3670,0,28606
2012,18647,1584,18953,969,177,6824,236,28,11308,1519,0,27544
2013,18615,80,23268,889,190,6053,301,32,18609,4449,0,32012
2014,16591,1691,24170,803,282,3409,282,49,22800,4090,0,23523
2015,16119,1059,22091,729,469,1130,270,50,25546,5878,0,21168
2016,22644,619,20218,748,465,501,305,77,27815,6699,1828,28600
2017,13849,230,22000,1004,781,569,318,60,41447,6698,795,24658
2018,9006,602,24380,1006,1090,496,274,71,35863,6814,738,25502
2019,9136,420,24627,1049,978,509,350,75,34485,6534,1621,26276
2020,22000,950,27500,1000,900,2300,300,65,39500,6600,350,26263
2021,20000,1000,23500,1000,900,2200,300,70,40000,6500,550,24494
