Years,Countries,Importatoin ($)
1961,"China, Macao SAR",5.0
1962,Canada,20.0
1963,"China, Macao SAR",120.0
1964,"China, Macao SAR",50.0
1965,"China, Macao SAR",30.0
1966,"China, Macao SAR",13.0
1967,"China, Macao SAR",21.0
1968,Turkey,1.0
1969,"China, Macao SAR",25.0
1970,"China, Macao SAR",28.0
1971,"China, Macao SAR",36.0
1972,"China, Macao SAR",13.0
1973,Canada,9.0
1974,"China, Macao SAR",2.0
1975,"China, Macao SAR",1.0
1976,"China, Macao SAR",3.0
1977,"China, Macao SAR",5.0
1978,"China, Macao SAR",2.0
1979,"China, Macao SAR",8.0
1980,"China, Macao SAR",4.0
1981,"China, Macao SAR",4.0
1982,"China, Macao SAR",2.0
1983,"China, Macao SAR",1.0
1984,"China, Macao SAR",1.0
1985,"China, Hong Kong SAR",22238.0
1986,"China, Hong Kong SAR",20531.0
1987,India,6926.0
1988,Australia,1.0
1989,Australia,19.0
1990,Canada,52.0
1991,"China, Macao SAR",1.0
1992,"China, Macao SAR",1.0
1993,Australia,39.0
1994,Australia,76.0
1995,Australia,44.0
1996,Australia,462.0
1997,"China, Macao SAR",1.0
1998,Australia,331.0
1999,"China, Macao SAR",2.0
2000,"China, Macao SAR",23.0
2001,Australia,9.0
2002,Australia,58.0
2003,"China, Macao SAR",2.0
2004,Australia,39.0
2005,Australia,22.0
2006,"China, Macao SAR",1.0
2007,"China, Macao SAR",1.0
2008,"China, Macao SAR",2.0
2009,"China, Macao SAR",4.0
2010,Australia,108.0
2011,"China, Macao SAR",3.0
2012,India,541.0
2013,Australia,1283.0
2014,Australia,866.0
2015,"China, Macao SAR",1.0
2016,Australia,504.0
2017,Australia,916.0
2018,Australia,876.0
2019,"China, Macao SAR",6.0
