Years,Countries,Production
2021,China,136000
2017,China,134334
2020,China,134250
2019,China,133590
2016,China,133271
2015,China,132639
2018,China,131430
2014,China,128321
2013,China,123710
1997,China,123289
2012,China,122540
2011,China,118625
2010,China,116141
2009,China,115834
1999,China,113880
2008,China,112932
1996,China,110570
1998,China,109726
2007,China,109525
2006,China,108466
1993,China,106390
1995,China,102215
1992,China,101590
2000,China,99640
1994,China,99300
1990,China,98229
2005,China,97445
1991,China,96000
2001,China,93873
2004,China,91952
1989,China,90807
2002,China,90290
1986,China,90040
1984,China,87815
1987,China,87764
2003,China,86490
1985,China,85810
1988,China,85432
1983,China,81390
1981,United States,75805
1982,United States,75250
1980,United States,64798
1979,China,62730
1976,United States,58480
1975,United States,57885
1977,United States,55670
1978,China,53840
1974,United States,48496
1973,United States,46560
1971,United States,44052
1968,United States,42375
1972,United States,42081
1967,United States,41014
1969,United States,39272
1960,United States,36877
1970,United States,36795
1966,United States,35788
1965,United States,34917
1964,United States,34917
1961,United States,33557
1963,United States,31216
1962,United States,29719
